HG001_EXOME_BOWTIE2_DV_STANDART.vcf.gz 19982
HG001_EXOME_BOWTIE2_FB_STANDART.vcf.gz 19246
HG001_EXOME_BOWTIE2_HC_1DCNN.vcf.gz 19660
HG001_EXOME_BOWTIE2_HC_2DCNN.vcf.gz 13182
HG001_EXOME_BOWTIE2_HC_HARDFILTER.vcf.gz 18949
HG001_EXOME_BOWTIE2_ST_STANDART.vcf.gz 19887
HG001_EXOME_BWA_DV_STANDART.vcf.gz 20041
HG001_EXOME_BWA_FB_STANDART.vcf.gz 19595
HG001_EXOME_BWA_HC_1DCNN.vcf.gz 19913
HG001_EXOME_BWA_HC_2DCNN.vcf.gz 12514
HG001_EXOME_BWA_HC_HARDFILTER.vcf.gz 19794
HG001_EXOME_BWA_ST_STANDART.vcf.gz 20060
HG001_EXOME_ISAAC4_DV_STANDART.vcf.gz 20829
HG001_EXOME_ISAAC4_FB_STANDART.vcf.gz 19661
HG001_EXOME_ISAAC4_HC_1DCNN.vcf.gz 20251
HG001_EXOME_ISAAC4_HC_2DCNN.vcf.gz 13000
HG001_EXOME_ISAAC4_HC_HARDFILTER.vcf.gz 19924
HG001_EXOME_ISAAC4_ST_STANDART.vcf.gz 20149
HG001_EXOME_NOVOALIGN_DV_STANDART.vcf.gz 20039
HG001_EXOME_NOVOALIGN_FB_STANDART.vcf.gz 19563
HG001_EXOME_NOVOALIGN_HC_1DCNN.vcf.gz 19942
HG001_EXOME_NOVOALIGN_HC_2DCNN.vcf.gz 12758
HG001_EXOME_NOVOALIGN_HC_HARDFILTER.vcf.gz 19780
HG001_EXOME_NOVOALIGN_ST_STANDART.vcf.gz 20020
HG001_GENOME_HG19_BOWTIE2_DV_STANDART.vcf.gz 21334
HG001_GENOME_HG19_BOWTIE2_FB_STANDART.vcf.gz 19627
HG001_GENOME_HG19_BOWTIE2_HC_1DCNN.vcf.gz 21200
HG001_GENOME_HG19_BOWTIE2_HC_2DCNN.vcf.gz 21180
HG001_GENOME_HG19_BOWTIE2_HC_HARDFILTER.vcf.gz 19625
HG001_GENOME_HG19_BOWTIE2_ST_STANDART.vcf.gz 15736
HG001_GENOME_HG19_BWA_DV_STANDART.vcf.gz 21460
HG001_GENOME_HG19_BWA_FB_STANDART.vcf.gz 20402
HG001_GENOME_HG19_BWA_HC_1DCNN.vcf.gz 21473
HG001_GENOME_HG19_BWA_HC_2DCNN.vcf.gz 21457
HG001_GENOME_HG19_BWA_HC_HARDFILTER.vcf.gz 21336
HG001_GENOME_HG19_BWA_ST_STANDART.vcf.gz 21498
HG001_GENOME_HG19_ISAAC4_DV_STANDART.vcf.gz 21462
HG001_GENOME_HG19_ISAAC4_FB_STANDART.vcf.gz 20417
HG001_GENOME_HG19_ISAAC4_HC_1DCNN.vcf.gz 21448
HG001_GENOME_HG19_ISAAC4_HC_2DCNN.vcf.gz 21429
HG001_GENOME_HG19_ISAAC4_HC_HARDFILTER.vcf.gz 21292
HG001_GENOME_HG19_ISAAC4_ST_STANDART.vcf.gz 21439
HG001_GENOME_HG19_NOVOALIGN_DV_STANDART.vcf.gz 21464
HG001_GENOME_HG19_NOVOALIGN_FB_STANDART.vcf.gz 20348
HG001_GENOME_HG19_NOVOALIGN_HC_1DCNN.vcf.gz 21471
HG001_GENOME_HG19_NOVOALIGN_HC_2DCNN.vcf.gz 21434
HG001_GENOME_HG19_NOVOALIGN_HC_HARDFILTER.vcf.gz 21288
HG001_GENOME_HG19_NOVOALIGN_ST_STANDART.vcf.gz 21444
HG002_EXOME_HG19_BOWTIE2_DV_STANDART.vcf.gz 21248
HG002_EXOME_HG19_BOWTIE2_FB_STANDART.vcf.gz 20496
HG002_EXOME_HG19_BOWTIE2_HC_1DCNN.vcf.gz 20499
HG002_EXOME_HG19_BOWTIE2_HC_2DCNN.vcf.gz 11803
HG002_EXOME_HG19_BOWTIE2_HC_HARDFILTER.vcf.gz 20108
HG002_EXOME_HG19_BOWTIE2_ST_STANDART.vcf.gz 21124
HG002_EXOME_HG19_BWA_DV_STANDART.vcf.gz 21406
HG002_EXOME_HG19_BWA_FB_STANDART.vcf.gz 20960
HG002_EXOME_HG19_BWA_HC_1DCNN.vcf.gz 21103
HG002_EXOME_HG19_BWA_HC_2DCNN.vcf.gz 11785
HG002_EXOME_HG19_BWA_HC_HARDFILTER.vcf.gz 21259
HG002_EXOME_HG19_BWA_ST_STANDART.vcf.gz 21402
HG002_EXOME_HG19_ISAAC4_DV_STANDART.vcf.gz 21423
HG002_EXOME_HG19_ISAAC4_FB_STANDART.vcf.gz 20976
HG002_EXOME_HG19_ISAAC4_HC_1DCNN.vcf.gz 21069
HG002_EXOME_HG19_ISAAC4_HC_2DCNN.vcf.gz 12086
HG002_EXOME_HG19_ISAAC4_HC_HARDFILTER.vcf.gz 21217
HG002_EXOME_HG19_ISAAC4_ST_STANDART.vcf.gz 21356
HG002_EXOME_HG19_NOVOALIGN_DV_STANDART.vcf.gz 21402
HG002_EXOME_HG19_NOVOALIGN_FB_STANDART.vcf.gz 20946
HG002_EXOME_HG19_NOVOALIGN_HC_1DCNN.vcf.gz 21213
